word	length	is_adjective	is_noun	is_other	wn_adj	wn_noun	ref_adj	ref_noun	source_set
aahed	5	0	0	1	0	0	0	0	english_alpha,wordle_guesses
aahing	6	0	0	1	0	0	0	0	english_alpha
aahs	4	0	0	1	0	0	0	0	english_alpha
aalii	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
aaliis	6	0	1	0	0	1	0	0	english_alpha
aals	4	0	0	0	0	0	0	0	english_alpha
aani	4	0	0	0	0	0	0	0	english_alpha
aargh	5	0	0	0	0	0	0	0	english_alpha,wordle_guesses
aaron	5	0	1	0	0	1	0	0	english_alpha,google_10000
aaronic	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
aarrgh	6	0	0	0	0	0	0	0	english_alpha
aarrghh	7	0	0	0	0	0	0	0	english_alpha
aarti	5	0	0	0	0	0	0	0	wordle_guesses
aaru	4	0	0	0	0	0	0	0	english_alpha
ababdeh	7	0	0	0	0	0	0	0	english_alpha
ababua	6	0	0	0	0	0	0	0	english_alpha
abac	4	0	0	0	0	0	0	0	english_alpha
abaca	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
abacas	6	0	1	0	0	1	0	0	english_alpha
abacate	7	0	0	0	0	0	0	0	english_alpha
abacaxi	7	0	0	0	0	0	0	0	english_alpha
abacay	6	0	0	0	0	0	0	0	english_alpha
abaci	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
abacist	7	0	0	0	0	0	0	0	english_alpha
aback	5	0	0	1	0	0	0	0	english_alpha,wordle_answers
abacli	6	0	0	0	0	0	0	0	english_alpha
abacot	6	0	0	0	0	0	0	0	english_alpha
abacs	5	0	0	0	0	0	0	0	wordle_guesses
abactor	7	0	0	0	0	0	0	0	english_alpha
abaculi	7	0	0	0	0	0	0	0	english_alpha
abacus	6	0	1	0	0	1	0	0	eff,english_alpha
abada	5	0	0	0	0	0	0	0	english_alpha
abaddon	7	0	0	0	0	0	0	0	english_alpha
abadejo	7	0	0	0	0	0	0	0	english_alpha
abadia	6	0	0	0	0	0	0	0	english_alpha
abadite	7	0	0	0	0	0	0	0	english_alpha
abaff	5	0	0	0	0	0	0	0	english_alpha
abaft	5	0	0	1	0	0	0	0	english_alpha,wordle_guesses
abaised	7	0	0	0	0	0	0	0	english_alpha
abaiser	7	0	0	0	0	0	0	0	english_alpha
abaisse	7	0	0	0	0	0	0	0	english_alpha
abaka	5	0	0	0	0	0	0	0	english_alpha,wordle_guesses
abakas	6	0	0	0	0	0	0	0	english_alpha
abalone	7	0	1	0	0	1	0	0	english_alpha
abama	5	0	0	0	0	0	0	0	english_alpha
abamp	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
abamps	6	0	1	0	0	1	0	0	english_alpha
aband	5	0	0	0	0	0	0	0	english_alpha,wordle_guesses
abandon	7	0	1	0	0	1	0	0	bip39,english_alpha
abandum	7	0	0	0	0	0	0	0	english_alpha
abanet	6	0	0	0	0	0	0	0	english_alpha
abanga	6	0	0	0	0	0	0	0	english_alpha
abanic	6	0	0	0	0	0	0	0	english_alpha
abantes	7	0	0	0	0	0	0	0	english_alpha
abaris	6	0	0	0	0	0	0	0	english_alpha
abas	4	0	1	0	0	1	0	0	english_alpha
abase	5	0	0	1	0	0	0	0	english_alpha,wordle_answers
abased	6	1	0	0	0	0	1	0	english_alpha,simple_adjectives
abaser	6	0	0	0	0	0	0	0	english_alpha
abasers	7	0	0	0	0	0	0	0	english_alpha
abases	6	0	0	1	0	0	0	0	english_alpha
abasgi	6	0	0	0	0	0	0	0	english_alpha
abash	5	0	0	1	0	0	0	0	english_alpha,wordle_guesses
abashed	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abashes	7	0	0	1	0	0	0	0	english_alpha
abasia	6	0	1	0	0	1	0	0	english_alpha
abasias	7	0	1	0	0	1	0	0	english_alpha
abasic	6	1	0	0	1	0	0	0	english_alpha
abasing	7	0	0	1	0	0	0	0	english_alpha
abasio	6	0	0	0	0	0	0	0	english_alpha
abask	5	0	0	0	0	0	0	0	english_alpha,wordle_guesses
abassi	6	0	0	0	0	0	0	0	english_alpha
abassin	7	0	0	0	0	0	0	0	english_alpha
abatage	7	0	0	0	0	0	0	0	english_alpha
abate	5	0	0	1	0	0	0	0	english_alpha,wordle_answers
abated	6	0	0	1	0	0	0	0	english_alpha
abater	6	0	0	0	0	0	0	0	english_alpha
abaters	7	0	0	0	0	0	0	0	english_alpha
abates	6	0	0	1	0	0	0	0	english_alpha
abatic	6	1	0	0	1	0	0	0	english_alpha
abating	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
abatis	6	0	1	0	0	1	0	0	english_alpha
abaton	6	0	0	0	0	0	0	0	english_alpha
abator	6	0	1	0	0	1	0	0	english_alpha
abators	7	0	1	0	0	1	0	0	english_alpha
abattis	7	0	1	0	0	1	0	0	english_alpha
abattu	6	0	0	0	0	0	0	0	english_alpha
abattue	7	0	0	0	0	0	0	0	english_alpha
abatua	6	0	0	0	0	0	0	0	english_alpha
abature	7	0	0	0	0	0	0	0	english_alpha
abaue	5	0	0	0	0	0	0	0	english_alpha
abave	5	0	0	0	0	0	0	0	english_alpha
