word	length	is_adjective	is_noun	is_other	wn_adj	wn_noun	ref_adj	ref_noun	source_set
aalii	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
aaliis	6	0	1	0	0	1	0	0	english_alpha
aaron	5	0	1	0	0	1	0	0	english_alpha,google_10000
aaronic	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
abaca	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
abacas	6	0	1	0	0	1	0	0	english_alpha
abaci	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
abacus	6	0	1	0	0	1	0	0	eff,english_alpha
abalone	7	0	1	0	0	1	0	0	english_alpha
abamp	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
abamps	6	0	1	0	0	1	0	0	english_alpha
abandon	7	0	1	0	0	1	0	0	bip39,english_alpha
abas	4	0	1	0	0	1	0	0	english_alpha
abased	6	1	0	0	0	0	1	0	english_alpha,simple_adjectives
abashed	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abasia	6	0	1	0	0	1	0	0	english_alpha
abasias	7	0	1	0	0	1	0	0	english_alpha
abasic	6	1	0	0	1	0	0	0	english_alpha
abatic	6	1	0	0	1	0	0	0	english_alpha
abating	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
abatis	6	0	1	0	0	1	0	0	english_alpha
abator	6	0	1	0	0	1	0	0	english_alpha
abators	7	0	1	0	0	1	0	0	english_alpha
abattis	7	0	1	0	0	1	0	0	english_alpha
abaxial	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abaya	5	0	1	0	0	1	0	0	wordle_guesses
abbacy	6	0	1	0	0	1	0	0	english_alpha
abbe	4	0	1	0	0	1	0	0	english_alpha
abbes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
abbess	6	0	1	0	0	1	0	0	english_alpha
abbey	5	0	1	0	0	1	0	0	english_alpha,wordle_answers
abbeys	6	0	1	0	0	1	0	0	english_alpha
abbot	5	0	1	0	0	1	0	0	english_alpha,wordle_answers
abbots	6	0	1	0	0	1	0	0	english_alpha
abdomen	7	0	1	0	0	1	0	0	eff,english_alpha
abel	4	0	1	0	0	1	0	0	english_alpha
abele	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
abeles	6	0	1	0	0	1	0	0	english_alpha
abelia	6	0	1	0	0	1	0	0	english_alpha
abettal	7	0	1	0	0	1	0	0	english_alpha
abetter	7	0	1	0	0	1	0	0	english_alpha
abettor	7	0	1	0	0	1	0	0	english_alpha
abeyant	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abfarad	7	0	1	0	0	1	0	0	english_alpha
abhenry	7	0	1	0	0	1	0	0	english_alpha
abiding	7	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives
abience	7	0	1	0	0	1	0	0	english_alpha
abient	6	1	0	0	1	0	0	0	english_alpha
abies	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
abilene	7	0	1	0	0	1	0	0	english_alpha
ability	7	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000
abiotic	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
abject	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abjurer	7	0	1	0	0	1	0	0	english_alpha
abkhas	6	0	1	0	0	1	0	0	english_alpha
ablated	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
ablaut	6	0	1	0	0	1	0	0	english_alpha
ablauts	7	0	1	0	0	1	0	0	english_alpha
