word	length	is_adjective	is_noun	is_other	wn_adj	wn_noun	ref_adj	ref_noun	source_set	is_corroborated	biology_obscure	drop_reason	metaphone_code	quality_tier	playfulness_score	concreteness_score	pool	g_rank	primary_score	outcome	dedup_collision_with
cool	4	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,moby_adj,simple_adjectives	1	0		KL	0	10	-1	adj	1456	10	selected_adj	
frosty	6	1	0	0	1	0	1	0	eff,english_alpha,haikunatorjs_adj,heroku_adj,moby_adj,simple_adjectives	1	0		FRST	0	9	0	adj	999999	9	selected_adj	
long	4	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		LNK	0	8	0	adj	263	8	selected_adj	
black	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		BLK	0	8	1	adj	270	8	selected_adj	
white	5	1	1	0	1	1	1	0	english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		WT	0	8	1	adj	347	8	selected_adj	
small	5	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		SML	0	8	1	adj	349	8	selected_adj	
still	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		STL	0	8	1	adj	389	8	selected_adj	
little	6	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		LTL	0	8	-1	adj	397	8	selected_adj	
blue	4	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		BL	0	8	1	adj	617	8	selected_adj	
green	5	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		KRN	0	8	1	adj	732	8	selected_adj	
dark	4	1	1	0	1	1	1	0	english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		TRK	0	8	1	adj	1639	8	selected_adj	
cold	4	1	1	0	1	1	1	0	eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		KLT	0	8	1	adj	1985	8	selected_adj	
wild	4	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		WLT	0	8	1	adj	2027	8	selected_adj	
quiet	5	1	1	0	1	1	1	0	eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		KT	0	8	-1	adj	4204	8	selected_adj	
purple	6	1	1	0	1	1	1	0	eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		PRPL	0	8	-1	adj	4373	8	selected_adj	
silent	6	1	0	0	1	0	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		SLNT	0	8	0	adj	5151	8	selected_adj	
rough	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		RKH	0	8	3	adj	5547	8	selected_adj	
sweet	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,moby_adj,simple_adjectives,wordle_answers	1	0		SWT	0	7	1	adj	2465	7	selected_adj	
crimson	7	1	1	0	1	1	1	0	eff,english_alpha,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		KRMSN	0	7	-2	adj	999999	7	selected_adj	
damp	4	1	1	0	1	1	1	0	bip39,english_alpha,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		TMP	0	7	-2	adj	999999	7	selected_adj	
muddy	5	1	0	0	1	0	1	0	english_alpha,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		MT	0	7	0	adj	999999	7	selected_adj	
snowy	5	1	0	0	1	0	1	0	eff,english_alpha,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		SN	0	7	0	adj	999999	7	selected_adj	
young	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		YNK	0	6	3	adj	570	6	selected_adj	
summer	6	1	1	0	0	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		SMR	0	6	-1	adj	1200	6	selected_adj	
late	4	1	0	0	1	0	1	0	eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		LT	0	6	0	adj	1230	6	selected_adj	
spring	6	1	1	0	0	1	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		SPRNK	0	6	1	adj	1248	6	selected_adj	
morning	7	1	1	0	0	1	1	1	bip39,english_alpha,google_10000,haikunatorjs_adj,haikunatorjs_nouns,heroku_adj,heroku_nouns,simple_adjectives	1	0		MRNNK	0	6	4	adj	1543	6	selected_adj	
winter	6	1	1	0	0	1	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		WNTR	0	6	-1	adj	1603	6	selected_adj	
broken	6	1	0	0	1	0	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		BRKN	0	6	0	adj	2534	6	selected_adj	
hidden	6	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		HTN	0	6	0	adj	2935	6	selected_adj	
empty	5	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		EMPT	0	6	3	adj	2963	6	selected_adj	
ancient	7	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		ANSNT	0	6	1	adj	3282	6	selected_adj	
aged	4	1	1	0	1	1	1	0	eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		AJT	0	6	1	adj	3971	6	selected_adj	
proud	5	1	0	0	1	0	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		PRT	0	6	0	adj	4131	6	selected_adj	
falling	7	1	0	0	1	0	1	0	english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		FLNK	0	6	0	adj	5300	6	selected_adj	
dawn	4	1	1	0	0	1	1	1	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,haikunatorjs_nouns,heroku_adj,heroku_nouns	1	0		TN	0	6	4	adj	5333	6	selected_adj	
floral	6	1	0	0	1	0	1	0	eff,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		FLRL	0	6	0	adj	5901	6	selected_adj	
autumn	6	1	1	0	0	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		ATMN	0	6	-1	adj	6340	6	selected_adj	
great	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,moby_adj,simple_adjectives,wordle_answers	1	0		KRT	0	5	1	adj	208	5	selected_adj	
yellow	6	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives	1	0		YL	0	5	-1	adj	982	5	selected_adj	
kind	4	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,moby_adj,simple_adjectives	1	0		KNT	0	5	-1	adj	1138	5	selected_adj	
round	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		RNT	0	5	1	adj	1308	5	selected_adj	
flat	4	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives	1	0		FLT	0	5	1	adj	1765	5	selected_adj	
soft	4	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives	1	0		SFT	0	5	0	adj	2051	5	selected_adj	
orange	6	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives	1	0		ORNJ	0	5	1	adj	2163	5	selected_adj	
plain	5	1	1	0	1	1	1	0	english_alpha,google_10000,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		PLN	0	5	3	adj	3225	5	selected_adj	
crazy	5	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,moby_adj,simple_adjectives,wordle_answers	1	0		KRS	0	5	1	adj	3303	5	selected_adj	
focused	7	1	0	0	1	0	1	0	english_alpha,google_10000,moby_adj,simple_adjectives	1	0		FKST	0	5	0	adj	3692	5	selected_adj	
strange	7	1	0	0	1	0	1	0	english_alpha,google_10000,moby_adj,simple_adjectives	1	0		STRNJ	0	5	0	adj	3928	5	selected_adj	
tender	6	1	1	0	1	1	1	0	english_alpha,google_10000,moby_adj,simple_adjectives	1	0		TNTR	0	5	1	adj	6739	5	selected_adj	
calm	4	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives	1	0		KLM	0	5	-1	adj	7386	5	selected_adj	
gentle	6	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives	1	0		JNTL	0	5	0	adj	8074	5	selected_adj	
epic	4	1	1	0	1	1	1	0	eff,english_alpha,google_10000,moby_adj,simple_adjectives	1	0		EPK	0	5	-1	adj	8490	5	selected_adj	
brave	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,moby_adj,simple_adjectives,wordle_answers	1	0		BRF	0	5	1	adj	9771	5	selected_adj	
bitter	6	1	1	0	1	1	1	0	bip39,english_alpha,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		BTR	0	5	0	adj	999999	5	selected_adj	
lively	6	1	0	0	1	0	1	0	eff,english_alpha,haikunatorjs_adj,heroku_adj,simple_adjectives	1	0		LFL	0	5	0	adj	999999	5	selected_adj	
misty	5	1	0	0	1	0	1	0	english_alpha,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_guesses	1	0		MST	0	5	0	adj	999999	5	selected_adj	
wispy	5	1	0	0	1	0	1	0	eff,english_alpha,haikunatorjs_adj,heroku_adj,simple_adjectives,wordle_answers	1	0		WSP	0	5	0	adj	999999	5	selected_adj	
dreamy	6	1	0	0	1	0	1	0	eff,english_alpha,moby_adj,simple_adjectives	1	0		TRM	0	4	0	adj	999999	4	selected_adj	
elastic	7	1	1	0	1	1	1	0	eff,english_alpha,moby_adj,simple_adjectives	1	0		ELSTK	0	4	2	adj	999999	4	selected_adj	
elated	6	1	0	0	1	0	1	0	eff,english_alpha,moby_adj,simple_adjectives	1	0		ELTT	0	4	0	adj	999999	4	selected_adj	
jolly	5	1	1	0	1	1	1	0	eff,english_alpha,haikunatorjs_adj,moby_adj,simple_adjectives,wordle_answers	1	0		JL	0	4	0	adj	999999	4	selected_adj	
lucid	5	1	0	0	1	0	1	0	eff,english_alpha,moby_adj,simple_adjectives,wordle_answers	1	0		LST	0	4	0	adj	999999	4	selected_adj	
noisy	5	1	0	0	1	0	1	0	english_alpha,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		NS	0	4	0	adj	999999	4	selected_adj	
raspy	5	1	0	0	1	0	1	0	english_alpha,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		RSP	0	4	0	adj	999999	4	selected_adj	
shiny	5	1	0	0	1	0	1	0	eff,english_alpha,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		XN	0	4	0	adj	999999	4	selected_adj	
shrill	6	1	0	0	1	0	1	0	eff,english_alpha,haikunatorjs_adj,simple_adjectives	1	0		XRL	0	4	0	adj	999999	4	selected_adj	
vibrant	7	1	0	0	1	0	1	0	bip39,english_alpha,moby_adj,simple_adjectives	1	0		FBRNT	0	4	0	adj	999999	4	selected_adj	
super	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		SPR	0	3	1	adj	1208	3	selected_adj	
happy	5	1	0	0	1	0	1	0	bip39,eff,english_alpha,google_10000,moby_adj,simple_adjectives,wordle_answers	1	0		HP	0	3	0	adj	1279	3	selected_adj	
royal	5	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		RYL	0	3	3	adj	1807	3	selected_adj	
square	6	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives	1	0		SKR	0	3	1	adj	1833	3	selected_adj	
funny	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,moby_adj,simple_adjectives,wordle_answers	1	0		FN	0	3	-1	adj	2346	3	selected_adj	
amazing	7	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,moby_adj,simple_adjectives	1	0		AMSNK	0	3	0	adj	2927	3	selected_adj	
broad	5	1	1	0	1	1	1	0	english_alpha,google_10000,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		BRT	0	3	1	adj	3515	3	selected_adj	
rapid	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		RPT	0	3	3	adj	3808	3	selected_adj	
tight	5	1	0	0	1	0	1	0	english_alpha,google_10000,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		TT	0	3	0	adj	3985	3	selected_adj	
busy	4	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,moby_adj,simple_adjectives	1	0		BS	0	3	0	adj	4086	3	selected_adj	
tiny	4	1	0	0	1	0	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives	1	0		TN	0	3	0	adj	4105	3	selected_adj	
awesome	7	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,moby_adj,simple_adjectives	1	0		AWSM	0	3	0	adj	4490	3	selected_adj	
lucky	5	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		LK	0	3	0	adj	4796	3	selected_adj	
loving	6	1	0	0	1	0	1	0	english_alpha,google_10000,moby_adj,simple_adjectives	1	0		LFNK	0	3	0	adj	6099	3	selected_adj	
elegant	7	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,moby_adj,simple_adjectives	1	0		ELKNT	0	3	0	adj	6108	3	selected_adj	
angry	5	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,moby_adj,simple_adjectives,wordle_answers	1	0		ANKR	0	3	0	adj	6546	3	selected_adj	
fancy	5	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		FNS	0	3	-1	adj	6822	3	selected_adj	
nervous	7	1	0	0	1	0	1	0	eff,english_alpha,google_10000,moby_adj,simple_adjectives	1	0		NRFS	0	3	0	adj	7365	3	selected_adj	
naughty	7	1	0	0	1	0	1	0	english_alpha,google_10000,moby_adj,simple_adjectives	1	0		NT	0	3	0	adj	8138	3	selected_adj	
silly	5	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,moby_adj,simple_adjectives,wordle_answers	1	0		SL	0	3	1	adj	8154	3	selected_adj	
boring	6	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,moby_adj,simple_adjectives	1	0		BRNK	0	3	-1	adj	8355	3	selected_adj	
hungry	6	1	0	0	1	0	1	0	bip39,eff,english_alpha,google_10000,moby_adj,simple_adjectives	1	0		HNKR	0	3	0	adj	8709	3	selected_adj	
magical	7	1	0	0	1	0	1	0	eff,english_alpha,google_10000,moby_adj,simple_adjectives	1	0		MJKL	0	3	0	adj	9101	3	selected_adj	
keen	4	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,moby_adj,simple_adjectives	1	0		KN	0	3	-1	adj	9216	3	selected_adj	
adoring	7	1	0	0	1	0	1	0	english_alpha,moby_adj,simple_adjectives	1	0		ATRNK	0	2	0	adj	999999	2	selected_adj	
clever	6	1	0	0	1	0	1	0	bip39,eff,english_alpha,moby_adj,simple_adjectives	1	0		KLFR	0	2	0	adj	999999	2	selected_adj	
cranky	6	1	0	0	1	0	1	0	english_alpha,moby_adj,simple_adjectives	1	0		KRNK	0	2	0	adj	999999	2	selected_adj	
curly	5	1	0	0	1	0	1	0	eff,english_alpha,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		KRL	0	2	0	adj	999999	2	selected_adj	
eager	5	1	1	0	1	1	1	0	bip39,english_alpha,moby_adj,simple_adjectives,wordle_answers	1	0		EJR	0	2	-2	adj	999999	2	selected_adj	
fervent	7	1	0	0	1	0	1	0	english_alpha,moby_adj,simple_adjectives	1	0		FRFNT	0	2	0	adj	999999	2	selected_adj	
festive	7	1	0	0	1	0	1	0	eff,english_alpha,moby_adj,simple_adjectives	1	0		FSTF	0	2	0	adj	999999	2	selected_adj	
gifted	6	1	0	0	1	0	1	0	english_alpha,moby_adj,simple_adjectives	1	0		JFTT	0	2	0	adj	999999	2	selected_adj	
jovial	6	1	0	0	1	0	1	0	eff,english_alpha,moby_adj,simple_adjectives	1	0		JFL	0	2	0	adj	999999	2	selected_adj	
musing	6	1	1	0	1	1	1	0	english_alpha,moby_adj,simple_adjectives	1	0		MSNK	0	2	-2	adj	999999	2	selected_adj	
mute	4	1	1	0	1	1	1	0	eff,english_alpha,haikunatorjs_adj,simple_adjectives	1	0		MT	0	2	2	adj	999999	2	selected_adj	
nifty	5	1	0	0	1	0	1	0	eff,english_alpha,moby_adj,simple_adjectives,wordle_guesses	1	0		NFT	0	2	0	adj	999999	2	selected_adj	
pensive	7	1	0	0	1	0	1	0	english_alpha,moby_adj,simple_adjectives	1	0		PNSF	0	2	0	adj	999999	2	selected_adj	
quirky	6	1	0	0	1	0	1	0	english_alpha,moby_adj,simple_adjectives	1	0		KRK	0	2	0	adj	999999	2	selected_adj	
relaxed	7	1	0	0	1	0	1	0	english_alpha,moby_adj,simple_adjectives	1	0		RLKST	0	2	0	adj	999999	2	selected_adj	
serene	6	1	0	0	1	0	1	0	english_alpha,moby_adj,simple_adjectives	1	0		SRN	0	2	0	adj	999999	2	selected_adj	
sleepy	6	1	0	0	1	0	1	0	english_alpha,moby_adj,simple_adjectives	1	0		SLP	0	2	0	adj	999999	2	selected_adj	
steep	5	1	1	0	1	1	1	0	eff,english_alpha,haikunatorjs_adj,simple_adjectives,wordle_answers	1	0		STP	0	2	2	adj	999999	2	selected_adj	
